iter	Passed	Remaining
0	0	29
1	0	28
2	0	27
3	1	24
4	1	24
5	1	25
6	1	25
7	2	25
8	2	24
9	2	24
10	3	25
11	3	24
12	3	24
13	3	24
14	4	23
15	4	23
16	4	23
17	5	22
18	5	22
19	6	25
20	6	24
21	6	24
22	7	23
23	7	23
24	7	23
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	13	16
45	13	15
46	13	15
47	13	15
48	14	14
49	14	14
50	14	14
51	15	13
52	15	13
53	15	13
54	15	12
55	16	12
56	16	12
57	16	12
58	16	11
59	17	11
60	17	11
61	17	10
62	18	10
63	18	10
64	18	9
65	18	9
66	19	9
67	19	9
68	19	8
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	21	6
76	22	6
77	22	6
78	22	6
79	23	5
80	23	5
81	23	5
82	24	4
83	24	4
84	24	4
85	24	4
86	25	3
87	25	3
88	25	3
89	26	2
90	26	2
91	26	2
92	26	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	28	0
